Date,Open,High,Low,Close,Adj Close,Volume
2019-05-08,77.580002,78.639999,77.120003,78.050003,69.960838,7799900
2019-05-09,77.580002,78.230003,77.349998,77.900002,69.826378,7326600
2019-05-10,77.629997,78.800003,77.160004,78.419998,70.292496,6448600
2019-05-13,77.250000,77.779999,76.080002,76.680000,68.732811,9778500
2019-05-14,76.750000,77.739998,76.680000,77.059998,69.073441,6870900
2019-05-15,76.690002,77.940002,76.529999,77.760002,69.700897,5415500
2019-05-16,77.660004,79.239998,77.570000,78.900002,70.722763,6941800
2019-05-17,78.519997,79.650002,78.370003,78.910004,70.731712,7379900
2019-05-20,78.300003,78.419998,76.570000,76.660004,68.714920,11475000
2019-05-21,77.050003,77.849998,76.750000,77.529999,69.494720,5808500
2019-05-22,77.199997,77.720001,76.910004,77.250000,69.243736,5602300
2019-05-23,76.879997,76.940002,75.690002,76.410004,68.490814,9213200
2019-05-24,76.830002,77.059998,75.970001,76.150002,68.257767,5627600
2019-05-28,76.360001,76.680000,75.320000,75.699997,67.854393,16205200
2019-05-29,75.330002,75.489998,74.330002,75.279999,67.477928,10511600
2019-05-30,75.650002,76.430000,75.629997,76.169998,68.275681,7178400
2019-05-31,75.599998,76.320000,75.379997,76.059998,68.177086,7625700
2019-06-03,76.120003,76.529999,75.650002,76.220001,68.320488,8122200
2019-06-04,76.769997,78.760002,76.660004,78.519997,70.382133,11685000
2019-06-05,78.790001,79.970001,78.660004,79.959999,71.672882,7437100
2019-06-06,80.029999,81.629997,79.900002,81.400002,72.963646,10457200
2019-06-07,81.599998,83.330002,81.510002,82.480003,73.931732,11278800
2019-06-10,82.849998,82.860001,81.379997,81.930000,73.438721,8102800
2019-06-11,82.300003,82.860001,81.849998,82.370003,73.833092,6226400
2019-06-12,82.589996,83.669998,82.320000,82.930000,74.335068,6088800
2019-06-13,83.330002,84.050003,83.019997,83.349998,74.711540,7156800
2019-06-14,83.540001,84.610001,83.389999,84.239998,75.509300,9226500
2019-06-17,84.650002,84.690002,82.889999,83.019997,74.415733,9313700
2019-06-18,83.550003,84.110001,82.889999,82.919998,74.326103,10582600
2019-06-19,83.080002,83.919998,82.080002,83.809998,75.123878,5401400
2019-06-20,84.410004,84.830002,83.830002,84.690002,75.912674,5215800
2019-06-21,84.430000,84.769997,83.809998,83.820000,75.132835,12610000
2019-06-24,84.080002,84.559998,83.610001,83.650002,74.980469,6692500
2019-06-25,84.199997,85.199997,83.959999,84.250000,75.518250,7312300
2019-06-26,84.300003,84.300003,83.180000,83.379997,74.738419,7576400
2019-06-27,83.550003,83.889999,83.209999,83.559998,74.899780,6084200
2019-06-28,83.559998,83.959999,83.320000,83.830002,75.141808,6735300
2019-07-01,84.620003,84.959999,84.029999,84.550003,75.787178,7935100
2019-07-02,84.739998,85.589996,84.519997,85.510002,76.647705,6205800
2019-07-03,86.040001,87.820000,85.980003,87.790001,78.691376,7818600
2019-07-05,87.500000,87.889999,86.879997,87.790001,78.691376,5733100
2019-07-08,87.599998,87.949997,87.180000,87.440002,78.377655,6359500
2019-07-09,87.290001,87.650002,86.889999,87.230003,78.189423,5355400
2019-07-10,87.419998,88.540001,87.419998,88.379997,79.220245,5293000
2019-07-11,88.660004,89.290001,88.269997,89.070000,79.838722,6191400
2019-07-12,89.279999,89.820000,88.849998,89.769997,80.466171,5628000
